year_month,party,dimension,mean,raw_iqr,n_articles
2022-03,democrat,q1,16.763207584784993,20.0,953
2022-03,democrat,q2,7.600008317856627,10.0,733
2022-03,democrat,q3,9.870465031384162,15.5,511
2022-03,democrat,q4,15.700784160825757,20.0,583
2022-03,republican,q1,36.73218747093259,61.25,258
2022-03,republican,q2,29.41863226897222,51.666666666666664,253
2022-03,republican,q3,7.420026775050876,0.0,90
2022-03,republican,q4,28.47045457918285,60.0,83
2022-04,democrat,q1,12.25992852353915,15.0,469
2022-04,democrat,q2,9.091840366464895,10.0,335
2022-04,democrat,q3,6.8921954139757995,10.0,170
2022-04,democrat,q4,15.622295697052822,20.0,271
2022-04,republican,q1,41.44734046321596,54.22222222222223,71
2022-04,republican,q2,39.362007053693524,70.0,64
2022-04,republican,q3,10.823805187149452,25.0,13
2022-04,republican,q4,37.86551067515012,68.21428571428572,22
2022-05,democrat,q1,12.394826459371323,15.0,398
2022-05,democrat,q2,9.060159617742693,10.0,254
2022-05,democrat,q3,20.3414227652433,30.0,127
2022-05,democrat,q4,12.506030289287704,20.0,203
2022-05,republican,q1,49.09652469761884,56.25,119
2022-05,republican,q2,21.89767059609003,32.5,65
2022-05,republican,q3,14.121878815655997,10.0,17
2022-05,republican,q4,44.59899886139997,58.33333333333333,50
2022-06,democrat,q1,11.315279064229719,15.0,247
2022-06,democrat,q2,12.296484078616924,20.0,153
2022-06,democrat,q3,10.422311653528961,12.5,80
2022-06,democrat,q4,8.629681545687783,10.0,118
2022-06,republican,q1,25.466110722447812,36.666666666666664,15
2022-06,republican,q2,24.333053224571554,27.5,8
2022-06,republican,q3,5.5788589130225965,,3
2022-06,republican,q4,19.839465655706633,55.0,7
2022-07,democrat,q1,12.447162384105019,10.0,121
2022-07,democrat,q2,13.190795623462282,20.0,74
2022-07,democrat,q3,12.202898409896,10.0,36
2022-07,democrat,q4,12.571140882490424,20.0,51
2022-07,republican,q1,52.14447579744226,72.5,12
2022-07,republican,q2,36.77622660637882,60.0,11
2022-07,republican,q3,28.515451191515357,30.0,8
2022-07,republican,q4,35.810446350208274,45.0,4
2022-08,democrat,q1,9.600189292124305,10.0,119
2022-08,democrat,q2,8.46442800680209,10.0,65
2022-08,democrat,q3,9.67464968716301,10.0,40
2022-08,democrat,q4,7.230680385977586,10.0,55
2022-08,republican,q1,33.09336128376389,41.25,15
2022-08,republican,q2,24.2535498524165,20.0,9
2022-08,republican,q3,0.0,0.0,4
2022-08,republican,q4,19.228786562009315,40.0,6
2022-09,democrat,q1,12.298209893856157,20.0,163
2022-09,democrat,q2,6.819867607356415,10.0,134
2022-09,democrat,q3,11.574780477582896,10.0,74
2022-09,democrat,q4,11.153958456245496,20.0,71
2022-09,republican,q1,52.634547638425914,63.75,29
2022-09,republican,q2,37.77419808690624,53.33333333333333,19
2022-09,republican,q3,42.98283923065957,72.5,10
2022-09,republican,q4,46.78020818378,58.75,10
2022-10,democrat,q1,20.100787639660773,20.0,202
2022-10,democrat,q2,10.870354187776565,10.0,154
2022-10,democrat,q3,5.447249859782547,1.25,64
2022-10,democrat,q4,14.098051040201229,20.0,77
2022-10,republican,q1,59.44555660589076,23.92857142857143,87
2022-10,republican,q2,31.42517176202185,50.0,50
2022-10,republican,q3,16.03369688452275,25.0,13
2022-10,republican,q4,56.25225479130277,30.0,43
2022-11,democrat,q1,23.441498634736146,41.25,142
2022-11,democrat,q2,17.371813965200438,20.0,88
2022-11,democrat,q3,18.328151877542044,20.0,37
2022-11,democrat,q4,22.15524368457111,22.5,60
2022-11,republican,q1,59.128593392043,32.5,91
2022-11,republican,q2,26.524848669958004,22.5,31
2022-11,republican,q3,16.45690934139947,20.0,17
2022-11,republican,q4,52.34410196736381,32.0,36
2022-12,democrat,q1,13.083433162823965,15.625,236
2022-12,democrat,q2,9.100850858255251,10.0,143
2022-12,democrat,q3,10.81972190039361,17.5,54
2022-12,democrat,q4,9.656595510322203,10.0,113
2022-12,republican,q1,54.70506858683234,33.75,97
2022-12,republican,q2,34.58994285005839,40.9375,46
2022-12,republican,q3,14.50036385740552,25.0,10
2022-12,republican,q4,56.49384236099913,45.0,37
2023-01,democrat,q1,16.861436908724805,17.5,218
2023-01,democrat,q2,11.429443181752765,10.0,116
2023-01,democrat,q3,16.031960430581,20.0,48
2023-01,democrat,q4,10.452599085436832,12.5,71
2023-01,republican,q1,48.65791553032688,47.5,57
2023-01,republican,q2,40.6289775509649,62.5,23
2023-01,republican,q3,0.0,,1
2023-01,republican,q4,49.05339236726731,72.5,24
2023-02,democrat,q1,13.5523583948138,18.0,396
2023-02,democrat,q2,8.81414748787231,10.0,346
2023-02,democrat,q3,9.046637510730903,10.0,161
2023-02,democrat,q4,10.778615659606496,10.0,208
2023-02,republican,q1,48.93973071404313,55.0,115
2023-02,republican,q2,30.422778349118918,48.333333333333336,54
2023-02,republican,q3,39.494249374689964,70.0,31
2023-02,republican,q4,42.63426743682137,53.125,36
2023-03,democrat,q1,20.435993238521203,21.25,156
2023-03,democrat,q2,11.445684287334263,12.5,92
2023-03,democrat,q3,16.81719426315359,25.0,41
2023-03,democrat,q4,13.596249648192304,18.75,58
2023-03,republican,q1,57.56177770596708,26.904761904761905,143
2023-03,republican,q2,48.064742783616545,40.0,109
2023-03,republican,q3,43.985243859407284,70.0,47
2023-03,republican,q4,59.28255839068441,30.0,79
2023-04,democrat,q1,24.361075336978733,30.0,89
2023-04,democrat,q2,16.053115825506694,20.0,56
2023-04,democrat,q3,18.40523623381875,30.0,29
2023-04,democrat,q4,18.444822954342918,20.0,37
2023-04,republican,q1,56.858974807268815,32.5,30
2023-04,republican,q2,43.41160882460232,19.125,15
2023-04,republican,q3,60.9410856239073,30.0,7
2023-04,republican,q4,54.901496496605574,42.5,11
2023-05,democrat,q1,21.756948504492904,27.500000000000004,147
2023-05,democrat,q2,13.879296483506517,16.25,72
2023-05,democrat,q3,14.771631781520194,22.5,28
2023-05,democrat,q4,11.434820823461697,10.0,55
2023-05,republican,q1,49.25624974026392,38.03125,46
2023-05,republican,q2,34.88929080611284,55.0,28
2023-05,republican,q3,49.32344497368182,82.8125,10
2023-05,republican,q4,38.370306490345754,57.5,18
2023-06,democrat,q1,19.088951581066723,15.0,121
2023-06,democrat,q2,17.39271005709866,20.0,70
2023-06,democrat,q3,9.05632298143727,10.0,32
2023-06,democrat,q4,12.793649410755048,20.0,54
2023-06,republican,q1,44.802193661448314,45.0,57
2023-06,republican,q2,32.46685298290887,47.5,38
2023-06,republican,q3,17.472795858266466,23.75,14
2023-06,republican,q4,40.66944255011521,44.6875,22
2023-07,democrat,q1,18.96629056508042,23.541666666666664,256
2023-07,democrat,q2,20.39927281176154,30.83333333333333,195
2023-07,democrat,q3,7.0016802983439375,10.0,84
2023-07,democrat,q4,7.548372014387355,10.0,142
