"outcome","outcome_label","predictor","sample_month","fitted","residual","sqrt_abs_standardized_residual"
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-03",0.487113330885594,0.0562558488910293,0.921813026822603
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-04",0.541101148422607,0.0224883316562292,0.558079257697428
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-05",0.563131612333373,0.0172919162103174,0.489581111891193
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-06",0.494566796439243,-0.0926157132118136,1.17050135501434
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-07",0.565960897760687,-0.0428024537484582,0.770844136704123
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-08",0.549150322728942,-0.183184977377245,1.5912706126697
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-09",0.552221016904306,0.0151136678365853,0.457058690857021
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-10",0.616090626710722,-0.0879999672296396,1.15454866814623
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-11",0.544531644796804,0.0190909093568669,0.513906084867116
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2022-12",0.613384527315828,0.00496860080638524,0.273225677145417
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-01",0.553227104304754,-0.0671521678909572,0.963453521412448
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-02",0.553427301851623,0.0726117690679458,1.00186228597962
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-03",0.598584560900633,0.0734875602869272,1.03168376575481
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-04",0.553342949713824,0.0940152988974616,1.13999292093565
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-05",0.5314133361546,-0.0114511230354236,0.399388950742647
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-06",0.540240658995003,0.0180599351736098,0.500211111454488
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-07",0.51659918052407,-0.00899467994994926,0.356895673297319
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-08",0.546472267728839,0.100817244260128,1.18071050571336
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-09",0.608096260161922,-0.0996387541355605,1.17626806423868
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-10",0.602292002605919,-0.0969903760817717,1.15998710899385
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-11",0.578954525798604,0.0302013744918957,0.65051696189427
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2023-12",0.600566002490032,0.0190605246015755,0.514223920331998
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-01",0.58526659515558,0.0246160314984139,0.585861012951574
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-02",0.601181945786979,0.0616416673942756,0.924741814514583
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-03",0.613406165879696,0.044743173667156,0.78904045088192
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-04",0.568707089011957,0.0476044033791329,0.821443519662579
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-05",0.557667118699263,-0.0981860601137462,1.19027234147671
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-06",0.642712559290797,0.0476542263604787,0.827747749225738
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-07",0.625435359685858,0.0329657070446633,0.680302688636816
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-08",0.621831246786829,-0.156648770990419,1.48052896812311
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-09",0.602583087219388,0.102849488382749,1.19451918879367
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-10",0.594986938575963,0.0561589630623328,0.882995525926281
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-11",0.611731591283376,-0.0154630526250414,0.463678351936065
"affiliation_recognizable_ev_mean","Affiliation Recognizability","party_brand_index_10","2024-12",0.603183594427257,-0.0005685459361343,0.0888144873155019
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-03",0.155491950536913,0.00655167944309357,0.634160534869288
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-04",0.161565854090352,0.00750717959363942,0.650009279483978
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-05",0.164044393122603,-0.00448314923717014,0.502526053297955
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-06",0.156330503250786,-0.0145962980098053,0.936730875660668
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-07",0.164362702096639,-0.0346349305976834,1.39782657311376
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-08",0.162471427063144,-0.038382433493411,1.46834888979414
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-09",0.162816895746898,0.0268142237874262,1.22725141343143
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-10",0.170002551097645,0.00185092205538064,0.33754287568616
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-11",0.161951802348087,0.00125124121882948,0.265219141439612
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2022-12",0.169698101177636,0.0230758486350669,1.18699035583519
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-01",0.162930085687063,0.00252332148708089,0.37648782285231
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-02",0.16295260892743,0.00645192504356732,0.602022977693309
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-03",0.16803302982078,0.00862902472911873,0.712663358413625
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-04",0.162943118883697,0.00556776116928779,0.559251399054021
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-05",0.160475926027982,-0.0125068214862921,0.841413299440966
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-06",0.161469044661291,-0.00727668957085497,0.64006791338882
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-07",0.158809258312367,0.011550573976801,0.815293725317599
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-08",0.162170132279922,0.0101066212559249,0.753603493777811
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-09",0.162320055864997,-0.000275240434622519,0.124627008537704
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-10",0.161667047423411,-0.00912570591364208,0.717275450901215
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-11",0.159041462804972,0.00744946129055117,0.651285780071589
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2023-12",0.16147286364797,0.0248883603225647,1.18453223681632
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2024-01",0.159751602652181,0.0111727936903592,0.795665192738915
"conditional_psi_mean","Conditional Partisan Strength","party_brand_index_10","2024-02",0.161542160395843,0.0236942261185298,1.15576213656989
