"method_id","hypothesis","verdict"
"P4-METHOD-2026-08-04-v3","H1","SUPPORTED"
"P4-METHOD-2026-08-04-v3","H2","SUPPORTED"
"P4-METHOD-2026-08-04-v3","H3","SUPPORTED"
"P4-METHOD-2026-08-04-v3","H4a","NOT_SUPPORTED"
"P4-METHOD-2026-08-04-v3","H4b","NOT_SUPPORTED"
"P4-METHOD-2026-08-04-v3","H4c","NOT_SUPPORTED"
"P4-METHOD-2026-08-04-v3","H4","NOT_SUPPORTED"
"P4-METHOD-2026-08-04-v3","H4_component_heterogeneity","NOT_HETEROGENEOUS"
"P4-METHOD-2026-08-04-v3","H5","NOT_SUPPORTED"
"P4-METHOD-2026-08-04-v3","H6","SUPPORTED"
